['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['2003fa', '0.0058', [16.68, 0.38], [1.46, 0.19], [0.08, 0.02], [35.98, 0.41], '0.128', '6', 'z', [17.735, 40.8833], 'Anon.', 'Ia']
['2003ic', '0.0546', [17.64, 0.05], [-2.32, 0.36], [0.03, 0.03], [36.61, 0.18], '0.000', '6', '', [0.6967, -9.3], 'MCG -02-2-86', 'Ia']
['2003it', '0.0240', [16.32, 0.1], [-1.82, 0.37], [0.1, 0.03], [35.18, 0.2], '0.128', '6', '', [0.0967, 27.45], 'UGC 40', 'Ia']
['2003iv', '0.0336', [16.95, 0.08], [-2.28, 0.45], [-0.01, 0.03], [36.01, 0.19], '0.128', '6', '', [2.835, 12.85], 'MCG +02-8-14', 'Ia']
['2003kc', '0.0341', [17.11, 0.08], [-1.26, 0.27], [0.17, 0.03], [35.84, 0.18], '0.128', '6', '', [9.7767, 30.65], 'MCG +05-23-37', 'Ia']
['2003kf', '0.0077', [13.22, 0.29], [0.26, 0.12], [-0.01, 0.01], [32.58, 0.33], '0.128', '6', 'z', [6.0767, -12.6333], 'MCG -02-16-2', 'Ia']
['2003u', '0.0261', [16.46, 0.09], [-2.6, 0.57], [0.04, 0.04], [35.36, 0.19], '0.004', '6', '', [17.38, 62.1667], 'NGC 6365', 'Ia']
['2003w', '0.0211', [15.84, 0.1], [-0.25, 0.11], [0.19, 0.01], [34.66, 0.19], '0.128', '6', '', [9.78, 16.05], 'UGC 5234', 'Ia']
['2004as', '0.0321', [16.96, 0.07], [0.01, 0.22], [0.15, 0.02], [35.9, 0.17], '0.128', '6', '', [11.4283, 22.8333], 'Anon.', 'Ia']
['2004bg', '0.0221', [15.46, 0.1], [0.35, 0.18], [-0.04, 0.02], [34.92, 0.19], '0.128', '6', '', [11.35, 21.3333], 'UGC 6363', 'Ia']
['2004fu', '0.0087', [14.25, 0.27], [-1.36, 0.35], [0.13, 0.03], [33.08, 0.31], '0.128', '6', 'z', [20.5867, 64.8], 'NGC 6949', 'Ia']
