Name,R.A.,Decl.,z,,,,,,,,,
RXC J2311.5+0338...,347.8878,3.6437,0.2998,,,,,,,,,
RXC J2318.5+1842...,349.6323,18.7054,0.0403,,,,,,,,,
RXC J2321.8+1505...,350.4671,15.043,0.15,,,,,,,,,
RXC J2323.6+0908...,350.9125,9.148,0.1992,,,,,,,,,
RXC J2325.0+1841...,351.2493,18.6971,0.2018,,,,,,,,,
RXC J2333.8+2140...,353.4712,21.6771,0.1022,,,,,,,,,
RXC J2334.0+0704...,353.5203,7.0709,0.099,,,,,,,,,
RXC J2336.5+2108...,354.1261,21.1424,0.0565,,,,,,,,,
RXC J2337.6+0016...,354.4206,0.276,0.278,,,,,,,,,
RXC J2338.4+2659...,354.6071,27.0126,0.0309,,,,,,,,,
RXC J2340.5+1029...,355.1335,10.491,0.18,,,,,,,,,
RXC J2341.1+0018...,355.2763,0.3148,0.11,,,,,,,,,
RXC J2344.9+0911...,356.2376,9.198,0.04,,,,,,,,,
RXC J2350.5+2929...,357.64,29.498,0.1498,,,,,,,,,
RXC J2350.8+0609...,357.7109,6.1611,0.0562,,,,,,,,,
RXC J2355.6+1120...,358.9094,11.3433,0.0726,,,,,,,,,
RXC J2355.8+3423...,358.9572,34.3859,0.148,,,,,,,,,
